NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTRY,LATITUDE,LONGITUDE,SOURCE,WEBSITE,OWNER,BEDS,HELIPAD
AVITA ONTARIO,715 RICHLAND MALL,MANSFIELD,OH,44906,NOT AVAILABLE,(567) 307-7666,GENERAL ACUTE CARE,OPEN,-999,RICHLAND,USA,40.771483356,-82.593602413,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://avitahealth.org/home,NOT AVAILABLE,-999,N
ESSENTIA HEALTH SANDSTONE,705 LUNDORFF DRIVE SOUTH,SANDSTONE,MN,55072,NOT AVAILABLE,(320) 245-5600,GENERAL ACUTE CARE,OPEN,30,PINE,USA,46.11903664,-92.885305267,http://www.health.state.mn.us/divs/fpc/directory/providerselect.cfm,http://www.essentiahealth.org/sandstone/find-a-clinic/essentia-healthsandstone-57.aspx,NON-PROFIT,30,Y
MERCY HOSPITAL – UNITY CAMPUS,550 OSBORNE RD,FRIDLEY,MN,55432,NOT AVAILABLE,(763) 236-5000,GENERAL ACUTE CARE,OPEN,275,ANOKA,USA,45.106480623,-93.256730437,http://www.health.state.mn.us/divs/fpc/directory/providerselect.cfm,https://www.allinahealth.org/Unity-Hospital/,NON-PROFIT,275,N
MEMORIAL SPECIALTY HOSPITAL,524 DR. MICHAEL DEBAKEY DRIVE,LAKE CHARLES,LA,70601,NOT AVAILABLE,(337) 480-8990,GENERAL ACUTE CARE,OPEN,228,CALCASIEU,USA,30.215944237,-93.227916617,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://www.lcmh.com/Our-Health-System/Memorial-Specialty-Hospital.aspx,NON-PROFIT,228,N
EUGENE J. TOWBIN VETERAN'S HEALTHCARE CENTER,2200 FORT ROOTS DRIVE NORTH,LITTLE ROCK,AR,72114,NOT AVAILABLE,(501) 257-1000,MILITARY,OPEN,-999,PULASKI,USA,34.778158,-92.297424,https://www.va.gov/directory/guide/allstate.asp,https://www.littlerock.va.gov/,GOVERNMENT - FEDERAL,-999,N
CHILDREN'S NATIONAL EMERGENCY DEPARTMENT AT UNITED MEDICAL CENTER,"1310 SOUTHERN AVENUE, SE",WASHINGTON,DC,20032,NOT AVAILABLE,(202) 574-6000,GENERAL ACUTE CARE,OPEN,234,DISTRICT OF COLUMBIA,USA,38.8359557,-76.984984771,http://doh.dc.gov/node/173192,http://www.united-medicalcenter.com/,NOT AVAILABLE,234,Y
NORTH MONROE MEDICAL CENTER,3421 MEDICAL PARK DR,MONROE,LA,71203,NOT AVAILABLE,(318) 966-4000,GENERAL ACUTE CARE,OPEN,-999,OUACHITA,USA,32.578809291,-92.07036476,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://www.stfran.com,NON-PROFIT,-999,N
LAFAYETTE GENERAL - SOUTHWEST CAMPUS,2810 AMBASSSADOR CAFFERY PARKWAY,LAFAYETTE,LA,70506,NOT AVAILABLE,(337) 981-2949,GENERAL ACUTE CARE,OPEN,142,LAFAYETTE,USA,30.197747822,-92.077125395,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://www.medicalcenterofacadiana.com,PROPRIETARY,142,Y
CHI ST. VINCENT HOT SPRINGS REHABILITATION HOSPITAL AN AFFILIATE OF HEALTHSOUTH,1636 HIGDON FERRY ROAD,HOT SPRINGS,AR,71913,NOT AVAILABLE,(501) 622-1887,REHABILITATION,OPEN,40,GARLAND,USA,34.464251226,-93.074932227,http://www.healthy.arkansas.gov/programsServices/hsLicensingRegulation/HealthFacilityServices/Pages/ProviderLists.aspx,NOT AVAILABLE,PROPRIETARY,40,N
CALVERT HEALTH MEDICAL CENTER,100 HOSPITAL ROAD,PRINCE FREDERICK,MD,20678,NOT AVAILABLE,(410) 535-4000,GENERAL ACUTE CARE,OPEN,76,CALVERT,USA,38.559906808,-76.596272556,http://dhmh.maryland.gov/ohcq/pages/licensee-directory.aspx,https://www.calverthealthmedicine.org/,NON-PROFIT,76,Y
HOSP GENERAL MENONITA DE CAGUAS,PR-172 URB TURABO GARDANS (SALIDA 21),CAGUAS,PR,726,NOT AVAILABLE,(787) 653-0550,GENERAL ACUTE CARE,OPEN,135,CAGUAS,PRI,18.220716113,-66.049890206,http://www.salud.gov.pr/Servicios-al-Ciudadano/Pages/Directorio-de-Hospitales-Publicos-y-Privados.aspx,http://www.sanjuanbautista.edu/hospital/Default.aspx,PROPRIETARY,135,N
CHARLIE NORWOOD VA MEDICAL CENTER,950 15TH STREET DOWNTOWN,AUGUSTA,GA,30904,NOT AVAILABLE,(706) 733-0188,MILITARY,OPEN,-999,RICHMOND,USA,33.464616,-82.025447,https://www.va.gov/directory/guide/allstate.asp,https://www.augusta.va.gov/,GOVERNMENT - FEDERAL,-999,N
MEMORIAL HOSPITAL EAST,1404 CROSS ST,SHILOH,IL,62269,NOT AVAILABLE,(618) 607-1000,GENERAL ACUTE CARE,OPEN,94,ST. CLAIR,USA,38.573690015,-89.905426337,https://data.illinois.gov/,https://www.memhospeast.com/,PROPRIETARY,94,Y
SCL HEALTH COMMUNITY HOSPITAL - NORTHGLENN,11900 GRANT STREET,DENVER,CO,80233,NOT AVAILABLE,(214) 808-7650,GENERAL ACUTE CARE,OPEN,8,ADAMS,USA,39.91240745,-104.984073326,http://www.hfemsd2.dphe.state.co.us/hfd2003/homebase.aspx?Ftype=hospital&Do=list,http://www.sclhealthcommunity.org/locations/northglenn/,PROPRIETARY,8,N
SCL HEALTH COMMUNITY HOSPITAL - SOUTHWEST,8515 WEST COAL MINE AVENUE,LITTLETON,CO,80123,NOT AVAILABLE,(713) 637-1026,GENERAL ACUTE CARE,OPEN,8,ARAPAHOE,USA,39.595883832,-105.092486411,http://www.hfemsd2.dphe.state.co.us/hfd2003/homebase.aspx?Ftype=hospital&Do=list,http://www.sclhealthcommunity.org/locations/southwest/,PROPRIETARY,8,N
UCHEALTH GRANDVIEW HOSPITAL,5623 PULPIT PEAK VIEW,COLORADO SPRINGS,CO,80918,NOT AVAILABLE,(844) 264-1440,GENERAL ACUTE CARE,OPEN,22,EL PASO,USA,38.910864144,-104.816880235,http://www.hfemsd2.dphe.state.co.us/hfd2003/homebase.aspx?Ftype=hospital&Do=list,https://www.uchealth.org/locations/uchealth-grandview-hospital/,PROPRIETARY,22,N
THE MIRIAM HOSPITAL,164 SUMMIT AVE,PROVIDENCE,RI,2906,NOT AVAILABLE,(401) 793-2005,GENERAL ACUTE CARE,OPEN,247,PROVIDENCE,USA,41.852068188,-71.398123495,http://www.health.ri.gov/licenses/detail.php?id=207,http://www.miriamhospital.org/service-directory/the-miriam-hospital,NON-PROFIT,247,N
NEWPORT HOSPITAL,11 FRIENDSHIP STREET,NEWPORT,RI,2840,NOT AVAILABLE,(401) 846-6400,GENERAL ACUTE CARE,OPEN,129,NEWPORT,USA,41.497139123,-71.306048988,http://www.health.ri.gov/licenses/detail.php?id=207,http://www.newporthospital.org/service-directory/newport-hospital,NON-PROFIT,129,N
NEW ENGLAND BAPTIST HOSPITAL,125 PARKER HILL AVENUE,BOSTON,MA,2120,NOT AVAILABLE,(617) 754-5800,GENERAL ACUTE CARE,OPEN,118,SUFFOLK,USA,42.3297,-71.1077,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,http://www.nebh.org,NON-PROFIT,118,N
"VA MEDICAL CENTER - MARION, IN",1700 E 38TH ST,MARION,IN,46953,NOT AVAILABLE,(765) 674-3321,MILITARY,OPEN,-999,GRANT,USA,40.520461504,-85.638268405,https://www.va.gov/directory/guide/allstate.asp,http://www.northernindiana.va.gov/,GOVERNMENT - FEDERAL,-999,N
SCL HEALTH COMMUNITY HOSPITAL- WESTMINSTER,6500 WEST 104TH AVE,WESTMINSTER,CO,80020,NOT AVAILABLE,(817) 456-3149,GENERAL ACUTE CARE,OPEN,8,ADAMS,USA,39.887637273,-105.068197962,http://www.hfemsd2.dphe.state.co.us/hfd2003/homebase.aspx?Ftype=hospital&Do=list,http://www.sclhealthcommunity.org,PROPRIETARY,8,N
SAN CARLOS APACHE HEALTHCARE CORPORATION,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,NOT AVAILABLE,(928) 475-1200,GENERAL ACUTE CARE,OPEN,-999,GILA,USA,33.295757533,-110.417875949,http://www.azdhs.gov/als/databases/,http://www.scahealth.org/,NOT AVAILABLE,-999,Y
MERRIMACK VALLEY HOSPITAL,140 LINCOLN AVENUE,HAVERHILL,MA,1830,NOT AVAILABLE,(978) 374-2000,GENERAL ACUTE CARE,OPEN,122,ESSEX,USA,42.7653,-71.0448,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,http://www.steward.org/merrimack-valley,PROPRIETARY,122,Y
MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,2114,NOT AVAILABLE,(617) 726-2000,GENERAL ACUTE CARE,OPEN,1035,SUFFOLK,USA,42.3626,-71.0693,http://www.mass.gov/eohhs/gov/departments/dph/programs/hcq/healthcare-quality/,http://www.massgeneral.org,NON-PROFIT,1035,Y
BAPTIST HEALTH MEDICAL CENTER-CONWAY,1555 EXCHANGE AVENUE,CONWAY,AR,72032,NOT AVAILABLE,(501) 585-2000,GENERAL ACUTE CARE,OPEN,11,FAULKNER,USA,35.056716641,-92.419570624,http://www.healthy.arkansas.gov/programsServices/hsLicensingRegulation/HealthFacilityServices/Pages/ProviderLists.aspx,NOT AVAILABLE,PROPRIETARY,-999,Y
HU-HU-KAM MEMORIAL HOSPITAL (SACATON),483 W. SEED FARM ROAD,SACATON,AZ,85247,NOT AVAILABLE,(520) 562-3321,CRITICAL ACCESS,OPEN,-999,PINAL,USA,33.0730133,-111.7591372,https://www.ihs.gov/findhealthcare/,http://www.ihs.gov/Phoenix/index.cfm?module=dsp_phx_hf_gilariver,NOT AVAILABLE,-999,Y
ST LUKES HOSPITAL MONROE CAMPUS,100 ST LUKES LANE,STROUDSBURG,PA,18360,NOT AVAILABLE,(272) 212-1000,GENERAL ACUTE CARE,OPEN,-999,MONROE,USA,40.997531,-75.259981,http://sais.health.pa.gov/commonpoc/content/publiccommonpoc/normalSearch.asp,http://monroe.slhn.org/,NOT AVAILABLE,-999,Y
ACOMA-CANONCITO-LAGUNA (ACL) HOSPITAL,80 B VETERANS BOULEVARD,ACOMA,NM,87034,NOT AVAILABLE,(505) 552-5300,GENERAL ACUTE CARE,OPEN,-999,CIBOLA,USA,35.068386358,-107.570924008,https://www.ihs.gov/findhealthcare/,http://www.ihs.gov/albuquerque/healthcarefacilities/acomacanoncitolaguna/,NOT AVAILABLE,-999,Y
COMMUNITY MEMORIAL HOSPITAL,809 JACKSON STREET,BURKE,SD,57523,NOT AVAILABLE,(605) 775-2621,CRITICAL ACCESS,OPEN,16,GREGORY,USA,43.182093161,-99.294009792,https://apps.sd.gov/ph04lassnet/rptPH04LicenseList.Aspx,http://www.sanfordhealth.org,NON-PROFIT,16,N
FRANKLIN GENERAL HOSPITAL,"1720 CENTRAL AVENUE EAST, PO BOX 417",HAMPTON,IA,50441,NOT AVAILABLE,(641) 456-5000,CRITICAL ACCESS,OPEN,25,FRANKLIN,USA,42.743562556,-93.185579575,https://dia-hfd.iowa.gov/DIA_HFD/CTLEntitySearch.do,http://www.franklingeneral.com,GOVERNMENT - LOCAL,25,Y
BANNER BAYWOOD MEDICAL CENTER,6644 E. BAYWOOD AVE.,MESA,AZ,85206,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,340,MARICOPA,USA,33.411005403,-111.687999613,http://www.azdhs.gov/als/databases/,http://www.bannerhealth.com/locations/Arizona/banner+baywood+m edical+center,NON-PROFIT,340,Y
WOMEN & INFANTS HOSPITAL OF RHODE ISLAND,101 DUDLEY STREET,PROVIDENCE,RI,2905,NOT AVAILABLE,(401) 274-1100,WOMEN,OPEN,167,PROVIDENCE,USA,41.810877332,-71.41220076,http://www.health.ri.gov/licenses/detail.php?id=207,http://www.womenandinfants.org/,NON-PROFIT,167,N
HOSPITAL SAN LUCAS DE GUAYAMA (CRISTO REDENTOR),AVENUE PEDRO ALBESUS,GUAYAMA PUEBLO,PR,785,NOT AVAILABLE,(787) 840-8686,GENERAL ACUTE CARE,OPEN,115,GUAYAMA,PRI,17.973551336,-66.114454354,http://www.salud.gov.pr/Servicios-al-Ciudadano/Pages/Directorio-de-Hospitales-Publicos-y-Privados.aspx,http://www.ssepr.com/,NON-PROFIT,115,N
HOSP RYDER MEMORIAL INC,355 FONT MARTELO STREET,HUMACAO,PR,791,NOT AVAILABLE,(787) 852-0768,GENERAL ACUTE CARE,OPEN,227,HUMACAO,PRI,18.156000299,-65.835080018,http://www.salud.gov.pr/Servicios-al-Ciudadano/Pages/Directorio-de-Hospitales-Publicos-y-Privados.aspx,NOT AVAILABLE,NON-PROFIT,227,N
HOSP PSIQUIATRIA FORENSE DE PONCE,PR-14 KM 4.2,PONCE,PR,731,NOT AVAILABLE,(787) 844-0101,GENERAL ACUTE CARE,OPEN,-999,PONCE,PRI,18.034393678,-66.594541522,http://www.salud.gov.pr/Servicios-al-Ciudadano/Pages/Directorio-de-Hospitales-Publicos-y-Privados.aspx,NOT AVAILABLE,NOT AVAILABLE,-999,N
MAYAGUEZ MEDICAL CENTER,410 HOSTOS AVENUE,MAYAGUEZ,PR,681,NOT AVAILABLE,(787) 652-9200,GENERAL ACUTE CARE,OPEN,181,MAYAGUEZ,PRI,18.180637237,-67.152849715,http://www.salud.gov.pr/Servicios-al-Ciudadano/Pages/Directorio-de-Hospitales-Publicos-y-Privados.aspx,http://www.mayaguezmedical.com/,GOVERNMENT - STATE,181,Y
THREE GABLES SURGERY CENTER,5897 COUNTY ROAD 107,PROCTORVILLE,OH,45669,NOT AVAILABLE,(740) 886-9911,GENERAL ACUTE CARE,OPEN,8,LAWRENCE,USA,38.441788476,-82.392982106,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.threegablessurgery.com,PROPRIETARY,8,N
MERCY REGIONAL MEDICAL CENTER,3700 KOLBE ROAD,LORAIN,OH,44053,NOT AVAILABLE,(440) 960-4000,GENERAL ACUTE CARE,OPEN,338,LORAIN,USA,41.436524539,-82.237163528,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.mercyonline.org/mercy_regional_medical_center.aspx,NON-PROFIT,338,Y
ST LUKE'S HOSPITAL,5901 MONCLOVA ROAD,MAUMEE,OH,43537,NOT AVAILABLE,(419) 893-5911,GENERAL ACUTE CARE,OPEN,315,LUCAS,USA,41.557311487,-83.682914446,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.stlukeshospital.com,NON-PROFIT,315,Y
NORTHWEST OHIO PSYCHIATRIC HOSPITAL,930 SOUTH DETROIT AVENUE,TOLEDO,OH,43614,NOT AVAILABLE,(419) 381-1881,PSYCHIATRIC,OPEN,-999,LUCAS,USA,41.621375094,-83.599479717,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://mha.ohio.gov/Default.aspx?tabid=191,GOVERNMENT - STATE,-999,N
SANTA FE HOSPITAL,1700 CERRILLOS ROAD,SANTA FE,NM,87501,NOT AVAILABLE,(505) 988-9821,CRITICAL ACCESS,OPEN,39,SANTA FE,USA,35.668338876,-105.97044038,http://providersearch.health.state.nm.us/,http://www.ihs.gov/FacilitiesServices/areaOffices/albuquerque/index.cfm?module=abq_santa_fe_su,GOVERNMENT - FEDERAL,39,N
LOS ALAMOS MEDICAL CENTER,3917 WEST ROAD,LOS ALAMOS,NM,87544,NOT AVAILABLE,(505) 662-4201,GENERAL ACUTE CARE,OPEN,47,LOS ALAMOS,USA,35.881699638,-106.319300155,http://providersearch.health.state.nm.us/,http://www.losalamosmedicalcenter.com,PROPRIETARY,47,Y
ARTESIA GENERAL HOSPITAL,702 NORTH 13TH STREET,ARTESIA,NM,88210,NOT AVAILABLE,(575) 748-3333,GENERAL ACUTE CARE,OPEN,49,EDDY,USA,32.848974782,-104.41086139,http://providersearch.health.state.nm.us/,http://www.artesiageneral.com,NON-PROFIT,49,Y
PRESBYTERIAN ESPANOLA HOSPITAL,1010 SPRUCE STREET,ESPANOLA,NM,87532,NOT AVAILABLE,(505) 753-1502,GENERAL ACUTE CARE,OPEN,80,RIO ARRIBA,USA,35.997251093,-106.088827837,http://providersearch.health.state.nm.us/,https://espanola-hospital.phs.org/Pages/default.aspx,NON-PROFIT,80,Y
PLAINS REGIONAL MEDICAL CENTER CLOVIS,2100 NORTH MARTIN LUTHER KING JUNIOR BOULEVARD,CLOVIS,NM,88101,NOT AVAILABLE,(575) 769-7155,GENERAL ACUTE CARE,OPEN,106,CURRY,USA,34.420620961,-103.23378959,http://providersearch.health.state.nm.us/,https://plains-regional-medical-center.phs.org/Pages/default.aspx,NON-PROFIT,106,Y
PRESBYTERIAN HOSPITAL,1100 CENTRAL AVENUE SOUTHEAST,ALBUQUERQUE,NM,87106,NOT AVAILABLE,(505) 724-8386,GENERAL ACUTE CARE,OPEN,453,BERNALILLO,USA,35.081633238,-106.63549872,http://providersearch.health.state.nm.us/,https://presbyterian-hospital.phs.org/Pages/default.aspx,NON-PROFIT,453,Y
BOULDER CITY HOSPITAL,901 ADAMS BOULEVARD,BOULDER CITY,NV,89005,NOT AVAILABLE,(702) 293-4111,GENERAL ACUTE CARE,OPEN,63,CLARK,USA,35.966080637,-114.842721442,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,http://www.bouldercityhospital.org,NON-PROFIT,63,N
CARSON TAHOE DAYTON HOSPITAL,1001 MEDICAL CENTER DRIVE,DAYTON,NV,89403,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,CLOSED,-999,LYON,USA,39.26897831,-119.574863493,http://dpbh.nv.gov/,NOT AVAILABLE,NOT AVAILABLE,-999,N
DAVIS HOSPITAL AND MEDICAL CENTER,1600 WEST ANTELOPE DRIVE,LAYTON,UT,84041,NOT AVAILABLE,(801) 807-1000,GENERAL ACUTE CARE,OPEN,200,DAVIS,USA,41.091045155,-111.995673069,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,http://www.davishospital.com,PROPRIETARY,200,Y
MIAMI VALLEY HOSPITAL SOUTH,2400 MIAMI VALLEY DRIVE,CENTERVILLE,OH,45459,NOT AVAILABLE,(937) 208-8000,GENERAL ACUTE CARE,OPEN,87,MONTGOMERY,USA,39.652760513,-84.114587185,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,https://www.miamivalleyhospital.org/Locations/Miami-Valley-Hospital-South/,NON-PROFIT,87,Y
CLARK MEMORIAL HOSPITAL,1220 MISSOURI AVE,JEFFERSONVILLE,IN,47130,NOT AVAILABLE,(812) 283-2142,GENERAL ACUTE CARE,OPEN,236,CLARK,USA,38.282255723,-85.748631849,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.clarkmemorial.org,GOVERNMENT - LOCAL,236,N
MOUNTAIN'S EDGE HOSPITAL,8656 WEST PATRICK LANE,LAS VEGAS,NV,89148,NOT AVAILABLE,(702) 777-7100,GENERAL ACUTE CARE,OPEN,130,CLARK,USA,36.078991559,-115.281045748,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,http://mountainsedgehospital.com/,PROPRIETARY,130,N
NORTHEASTERN NEVADA REGIONAL HOSPITAL,2001 ERRECART BOULEVARD,ELKO,NV,89801,NOT AVAILABLE,(775) 738-5151,GENERAL ACUTE CARE,OPEN,50,ELKO,USA,40.823443768,-115.730631041,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,http://www.nnrhospital.com,PROPRIETARY,50,Y
PUBLIC HEALTH SERV INDIAN HOSP,1623 HOSPITAL LOOP,OWYHEE,NV,89832,NOT AVAILABLE,NOT AVAILABLE,CRITICAL ACCESS,OPEN,-999,ELKO,USA,41.949891633,-116.097796998,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,http://www.shopaitribes.org/spochf/,NOT AVAILABLE,-999,Y
RENOWN REGIONAL MEDICAL CENTER,1155 MILL STREET,RENO,NV,89502,NOT AVAILABLE,(775) 982-4100,GENERAL ACUTE CARE,OPEN,608,WASHOE,USA,39.525941592,-119.796486016,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,http://www.renown.org,NON-PROFIT,608,Y
VA MEDICAL CENTER - CHILLICOTHE,17273 OH-104,CHILLICOTHE,OH,45601,NOT AVAILABLE,(740) 773-1141,MILITARY,OPEN,-999,ROSS,USA,39.390431036,-83.020398762,https://www.va.gov/directory/guide/allstate.asp,http://www.chillicothe.va.gov/,GOVERNMENT - FEDERAL,-999,Y
SAINT MARY'S REGIONAL MEDICAL CENTER,235 WEST SIXTH STREET,RENO,NV,89503,NOT AVAILABLE,(775) 770-3000,GENERAL ACUTE CARE,OPEN,277,WASHOE,USA,39.531620142,-119.819788036,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,www.saintmarysreno.com,NON-PROFIT,277,Y
LUTHERAN HOSPITAL OF INDIANA,7950 W JEFFERSON BLVD,FORT WAYNE,IN,46804,NOT AVAILABLE,(260) 435-7001,GENERAL ACUTE CARE,OPEN,396,ALLEN,USA,41.039211687,-85.249849396,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.lutheranhospital.com,PROPRIETARY,396,Y
ADAMS MEMORIAL HOSPITAL,1100 MERCER AVE,DECATUR,IN,46733,NOT AVAILABLE,(260) 724-2145,CRITICAL ACCESS,OPEN,35,ADAMS,USA,40.81622244,-84.914361671,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.adamshospital.com,GOVERNMENT - LOCAL,35,Y
INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL,410 PILGRIM BLVD,HARTFORD CITY,IN,47348,NOT AVAILABLE,(765) 348-0300,CRITICAL ACCESS,OPEN,15,BLACKFORD,USA,40.467946044,-85.372722523,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.iuhealth.org,NON-PROFIT,15,Y
SPRING MOUNTAIN SAHARA,5460 WEST SAHARA,LAS VEGAS,NV,89146,NOT AVAILABLE,(702) 873-2400,PSYCHIATRIC,OPEN,30,CLARK,USA,36.146019545,-115.215828608,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,http://www.springmountainsahara.com,PROPRIETARY,30,N
SPRING VALLEY HOSPITAL MEDICAL CENTER,5400 SOUTH RAINBOW BOULEVARD,LAS VEGAS,NV,89118,NOT AVAILABLE,(702) 853-3000,GENERAL ACUTE CARE,OPEN,169,CLARK,USA,36.089980035,-115.24044331,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,http://www.springvalleyhospital.com,PROPRIETARY,169,Y
ST. ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS,8280 WEST WARM SPRINGS ROAD,LAS VEGAS,NV,89113,NOT AVAILABLE,(702) 492-8509,GENERAL ACUTE CARE,OPEN,147,CLARK,USA,36.05733944,-115.27201999,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,www.strosehospitals.org,NON-PROFIT,147,Y
ST. ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,3001 SAINT ROSE PARKWAY,HENDERSON,NV,89052,NOT AVAILABLE,(702) 616-5000,GENERAL ACUTE CARE,OPEN,219,CLARK,USA,36.004371964,-115.115077348,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,www.strosehospitals.org,NON-PROFIT,219,Y
SUMMERLIN HOSPITAL MEDICAL CENTER,657 NORTH TOWN CENTER DRIVE,LAS VEGAS,NV,89144,NOT AVAILABLE,(702) 233-7500,GENERAL ACUTE CARE,OPEN,454,CLARK,USA,36.181034826,-115.317036986,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,www.summerlinhospital.com/,PROPRIETARY,454,Y
SUNRISE HOSPITAL AND MEDICAL CENTER,3186 MARYLAND PARKWAY,LAS VEGAS,NV,89169,NOT AVAILABLE,(702) 731-8000,GENERAL ACUTE CARE,OPEN,641,CLARK,USA,36.132610073,-115.13547145,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,http://www.sunrisehospital.com,PROPRIETARY,641,Y
DEARBORN COUNTY HOSPITAL,600 WILSON CREEK RD,LAWRENCEBURG,IN,47025,NOT AVAILABLE,(812) 537-1010,GENERAL ACUTE CARE,OPEN,88,DEARBORN,USA,39.111591354,-84.883399048,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.dch.org,GOVERNMENT - LOCAL,88,Y
VA SIERRA NEVADA HEALTHCARE SYSTEM,975 KIRMAN AVENUE,RENO,NV,89502,NOT AVAILABLE,(775) 786-7200,MILITARY,OPEN,124,WASHOE,USA,39.516363249,-119.799604504,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,http://www.reno.va.gov/,GOVERNMENT - FEDERAL,124,N
VA SOUTHERN NEVADA HEALTHCARE SYSTEM,6900 PECOS RD,NORTH LAS VEGAS,NV,89086,NOT AVAILABLE,(702) 791-9024,MILITARY,OPEN,190,CLARK,USA,36.28472567,-115.094471021,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,http://www.mhds.state.nv.us,GOVERNMENT - FEDERAL,190,N
WILSON MEMORIAL HOSPITAL,915 WEST MICHIGAN STREET,SIDNEY,OH,45365,NOT AVAILABLE,(937) 498-2311,GENERAL ACUTE CARE,OPEN,90,SHELBY,USA,40.286854382,-84.170174401,http://publicapps.odh.ohio.gov/EID/Provider_Search.aspx,http://www.wilsonhospital.com,NON-PROFIT,90,Y
WILLOW SPRINGS CENTER,690 EDISON WAY,RENO,NV,89502,NOT AVAILABLE,(775) 858-3303,PSYCHIATRIC,OPEN,116,WASHOE,USA,39.502047622,-119.757199689,http://dpbh.nv.gov/Reg/HealthFacilities/Community_Resources/,www.willowspringscenter.com/,PROPRIETARY,116,N
RIVERTON HOSPITAL,3741 WEST 12600 SOUTH,RIVERTON,UT,84065,NOT AVAILABLE,(801) 285-4000,GENERAL ACUTE CARE,OPEN,92,SALT LAKE,USA,40.520397473,-111.97991419,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,http://www.intermountainhealthcare.org/,NON-PROFIT,92,Y
MEDINA MEMORIAL HOSPITAL,200 OHIO ST,MEDINA,NY,14103,NOT AVAILABLE,(585) 798-2000,CRITICAL ACCESS,OPEN,39,ORLEANS,USA,43.223247441,-78.397592747,https://profiles.health.ny.gov/hospital/county_or_region/,http://medinamemorial.org/,NON-PROFIT,39,N
SAN JUAN HOSPITAL,380 WEST 100 NORTH,MONTICELLO,UT,84535,NOT AVAILABLE,(435) 587-2116,CRITICAL ACCESS,OPEN,25,SAN JUAN,USA,37.874468055,-109.349869612,https://opendata.utah.gov/Health/Utah-Hospital-Characteristics/ierb-h3t5/data,http://sanjuanhealthservices.org/,GOVERNMENT - DISTRICT/AUTHORITY,25,Y
IU HEALTH GOSHEN HOSPITAL,200 HIGH PARK AVE,GOSHEN,IN,46526,NOT AVAILABLE,(574) 364-2141,GENERAL ACUTE CARE,OPEN,120,ELKHART,USA,41.563292078,-85.830604706,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.iuhealth.org,NON-PROFIT,120,N
DEKALB HEALTH,1316 E SEVENTH ST,AUBURN,IN,46706,NOT AVAILABLE,(260) 925-4600,GENERAL ACUTE CARE,OPEN,56,DEKALB,USA,41.368866859,-85.035394171,http://www.in.gov/isdh/reports/QAMIS/hosdir,http://www.dekalbhealth.com,NON-PROFIT,56,Y
